,Name,Variety,Value,Note,Note_Ind
121,HUNAPU,Burbon,0.1,Tropical Fruit,5
122,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,5,Tropical Fruit,5
123,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Tropical Fruit,5
124,SANTA CLARA,Burbon,0.1,Tropical Fruit,5
125,EL VENDAVAL,Catuai,0.1,Tropical Fruit,5
126,SUMAVA ESPRESSO,Caturra,0.1,Tropical Fruit,5
127,LA HUERTA,"Burbon, Caturra",0.1,Tropical Fruit,5
128,KII PEABERRY,"SL28, SL24",0.1,Tropical Fruit,5
129,LUITO GESHA,Gesha,0.1,Tropical Fruit,5
130,EVELIA MARIA HONEY GESHA,Gesha,0.1,Tropical Fruit,5
131,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Tropical Fruit,5
132,Meaza,Ethiopia Heirloom,0.1,Tropical Fruit,5
133,Bella Aurora,Caturra,0.1,Tropical Fruit,5
134,EL ESCOBERO AUCTION LOT,Caturra,0.1,Tropical Fruit,5
135,Kilenso,Ethiopia Heirloom,0.1,Tropical Fruit,5
136,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Tropical Fruit,5
137,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Tropical Fruit,5
138,David Mancia,"Pacas, Catimor",0.1,Tropical Fruit,5
139,Benjamin Miranda,Pacas,0.1,Tropical Fruit,5
140,Duncan Estate,Gesha,10,Tropical Fruit,5
141,Addisu Kidane,Ethiopia Heirloom,0.1,Tropical Fruit,5
142,Shilcho,Ethiopia Heirloom,0.1,Tropical Fruit,5
143,Los Vascos,"Bourbon, caturra, catimor",0.1,Tropical Fruit,5
144,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Stone Fruit,6
145,HUNAPU,Burbon,0.1,Stone Fruit,6
146,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Stone Fruit,6
147,MERSHA ASSEFA,Ethiopia Heirloom,10,Stone Fruit,6
148,SANTA CLARA,Burbon,0.1,Stone Fruit,6
149,EL VENDAVAL,Catuai,0.1,Stone Fruit,6
150,SUMAVA ESPRESSO,Caturra,0.1,Stone Fruit,6
151,LA HUERTA,"Burbon, Caturra",10,Stone Fruit,6
152,KII PEABERRY,"SL28, SL24",0.1,Stone Fruit,6
153,LUITO GESHA,Gesha,0.1,Stone Fruit,6
154,EVELIA MARIA HONEY GESHA,Gesha,0.1,Stone Fruit,6
155,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Stone Fruit,6
156,Meaza,Ethiopia Heirloom,0.1,Stone Fruit,6
157,Bella Aurora,Caturra,0.1,Stone Fruit,6
158,EL ESCOBERO AUCTION LOT,Caturra,0.1,Stone Fruit,6
159,Kilenso,Ethiopia Heirloom,0.1,Stone Fruit,6
160,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Stone Fruit,6
161,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Stone Fruit,6
162,David Mancia,"Pacas, Catimor",0.1,Stone Fruit,6
